label	kind	base_url	vus	duration	http_req_failed	http_req_duration_p95_ms	http_req_duration_p99_ms
local-read-50	read	http://127.0.0.1:18100	50	120s	0	13.102854099999968	42.48233219000002
public-read-50	read	https://pre-studio.miemie.co	50	120s	0.0003803727653100038	107.4389723	1532.955002260011
local-read-100	read	http://127.0.0.1:18100	100	180s	0	15.421154199999933	70.43285178999992
public-read-100	read	https://pre-studio.miemie.co	100	180s	0.00012703252032520327	126.662293	1433.3967215499958
local-read-200	read	http://127.0.0.1:18100	200	180s	0	18.526071399999992	60.164150120000045
public-read-200	read	https://pre-studio.miemie.co	200	180s	0.0001695346274476562	177.43584450000006	1459.1837185099764
local-preview-10	preview	http://127.0.0.1:18100	10	60s	0.001639344262295082	13.10484904999998	17.23314417
public-preview-10	preview	https://pre-studio.miemie.co	10	60s	0.001984126984126984	41.15012809999996	604.2623946999936
local-preview-20	preview	http://127.0.0.1:18100	20	60s	0	23.08781279999999	30.751684459999975
public-preview-20	preview	https://pre-studio.miemie.co	20	60s	0	64.3226384999999	1237.3813393300034
local-preview-30	preview	http://127.0.0.1:18100	30	60s	0	30.476527799999996	51.32587981
public-preview-30	preview	https://pre-studio.miemie.co	30	60s	0	88.8863144999996	1277.1252318499842
