schemaname,relname,indexrelname,idx_scan,idx_tup_read,idx_tup_fetch
public,alembic_version,alembic_version_pkc,8,8,8
public,audio_studio_tasks,audio_studio_tasks_pkey,15,0,0
public,audio_studio_tasks,idx_audio_studio_tasks_user_project_updated,0,0,0
public,audio_studio_tasks,idx_audio_studio_tasks_user_result_voice,30,33,21
public,audio_studio_tasks,idx_audio_studio_tasks_user_status_updated,0,0,0
public,benchmark_records,benchmark_records_pkey,176,86,86
public,benchmark_records,idx_benchmark_records_user_dataset_suites,78,180,108
public,benchmark_records,idx_benchmark_records_user_project_kind_updated,12,0,0
public,benchmark_records,idx_benchmark_records_user_suite_runs,0,0,0
public,media_assets,idx_media_assets_task_id,0,0,0
public,media_assets,idx_media_assets_user_project_kind_updated,45,83,60
public,media_assets,idx_media_assets_user_url,31,53,39
public,media_assets,media_assets_pkey,45,0,0
public,project_entities,idx_project_entities_user_kind_name,0,0,0
public,project_entities,idx_project_entities_user_project_kind_shot,168,194,126
public,project_entities,idx_project_entities_user_project_kind_updated,0,0,0
public,project_entities,project_entities_pkey,90,0,0
public,projects,idx_projects_user_name,19,24,16
public,projects,idx_projects_user_updated,69,69,66
public,projects,projects_pkey,90,63,63
public,sessions,idx_sessions_expires_active,4,0,0
public,sessions,idx_sessions_user_active,4,40,0
public,sessions,sessions_pkey,81,63,63
public,studio_tasks,idx_studio_tasks_user_project_updated,0,0,0
public,studio_tasks,idx_studio_tasks_user_status_updated,129,153,129
public,studio_tasks,studio_tasks_pkey,111,100,84
public,text_items,idx_text_items_user_category_updated,30,33,21
public,text_items,idx_text_items_user_project_updated,0,0,0
public,text_items,text_items_pkey,15,0,0
public,user_configs,idx_user_configs_api_region,2,120,0
public,user_configs,idx_user_configs_updated,0,0,0
public,user_configs,user_configs_pkey,354,382,305
public,users,idx_users_updated,2,96,0
public,users,idx_users_username_active_unique,0,0,0
public,users,users_pkey,449,412,395
public,video_studio_tasks,idx_video_studio_tasks_submit_attempt,0,0,0
public,video_studio_tasks,idx_video_studio_tasks_user_project_updated,0,0,0
public,video_studio_tasks,idx_video_studio_tasks_user_status_updated,537,133,121
public,video_studio_tasks,video_studio_tasks_pkey,63,49,42
public,voice_profiles,idx_voice_profiles_user_project_updated,0,0,0
public,voice_profiles,idx_voice_profiles_user_status_updated,30,33,21
public,voice_profiles,idx_voice_profiles_user_voice_id,0,0,0
public,voice_profiles,voice_profiles_pkey,15,0,0
